vowel,F1,F2,filename
i,366.4321543134489,2376.507122691453,i_181.wav
i,485.2751607347664,2447.7108445295,i_182.wav
e,541.4981142865693,2155.26560040678,e_183.wav
i,436.4179534873982,2459.330027236116,i_184.wav
i,421.5402168158109,2240.522034311,i_185.wav
e,612.3434043812186,2046.2850414383413,e_186.wav
i,376.43781408867005,2448.5905704633933,i_187.wav
i,413.1946798901475,2075.37617785193,i_188.wav
i,442.6440303751777,2474.204727709125,i_189.wav
i,423.57568053944215,2486.5015679490057,i_190.wav
i,384.42201903382846,2450.1671375806336,i_191.wav
e,567.3436048750233,2200.4333164713407,e_192.wav
e,590.8120443916004,1938.990823820579,e_193.wav
e,557.7080193782282,1947.3541471851784,e_194.wav
e,721.1657295765341,1855.802968214751,e_195.wav
e,535.0554732360002,2086.9238093152485,e_196.wav
e,649.4342597823687,2018.1358218532528,e_197.wav
e,572.1911878376632,2030.8925958534323,e_198.wav
u,450.58591672384347,1390.9334520024056,u_199.wav
u,470.8289276001463,1376.8364462058532,u_200.wav
u,348.9832968093967,1157.45013208968,u_201.wav
u,439.3592107600677,1089.5518892753505,u_202.wav
u,432.1599293747704,1169.8361013759095,u_203.wav
u,446.8739698814992,1079.5821033578975,u_204.wav
u,443.5714743916248,1162.057342829353,u_205.wav
u,385.2696544271881,1327.6844589812115,u_206.wav
u,385.23926126506205,1157.651792106254,u_207.wav
u,400.7419796106683,1135.3020663015627,u_208.wav
u,400.45446475359313,1148.9385418439924,u_209.wav
e,660.6075814419419,2254.253303367642,e_210.wav
e,676.4810314024332,2313.6422902075647,e_211.wav
e,718.0195217304781,2135.7577771486663,e_212.wav
e,595.3400229137703,2318.7550028917244,e_213.wav
e,536.3538382922618,2194.41378201603,e_214.wav
e,521.1764452440804,2229.5297529308377,e_215.wav
e,497.5041265048152,2262.707785918665,e_216.wav
i,520.4668470169833,2341.08759423736,i_217.wav
e,732.0692705604741,1907.2971430988944,e_218.wav
i,476.6517740661279,2490.9247503948827,i_219.wav
e,649.5027582820268,1987.5456409258788,e_220.wav
i,488.0538935660604,2244.854578003381,i_221.wav
e,685.664872975274,1923.061833315524,e_222.wav
i,406.63127553073525,2484.85286787761,i_223.wav
e,741.3730247860468,1896.1882295769897,e_224.wav
e,457.9304691166867,2280.2536775683,e_225.wav
e,564.853765947604,2111.374968753128,e_226.wav
e,503.0046274683694,2186.501256435173,e_227.wav
e,544.4187419104433,2139.5730149023784,e_228.wav
i,369.2308295139329,2515.546068038667,i_229.wav
i,360.5833114366864,2184.911056464207,i_230.wav
i,431.5343175486468,2107.222630042725,i_231.wav
i,370.1030596182645,2365.947445728048,i_232.wav
i,378.32510416685886,2271.7437222229555,i_233.wav
e,523.1718932822971,2417.3280541124554,e_234.wav
i,380.65406035256296,2322.9637963268947,i_235.wav
e,492.3738033070695,2323.8075991399965,e_236.wav
e,428.4772095109037,2326.328979290919,e_237.wav
e,536.2313361493345,2145.6659738969706,e_238.wav
e,505.8136113642043,2411.046529791726,e_239.wav
e,577.4151957646972,2108.346572616289,e_240.wav
e,528.4302687368521,2332.065198974841,e_241.wav
e,613.7708591731076,2367.131523592295,e_242.wav
i,375.6933374935111,2377.7279544092503,i_243.wav
e,552.352552019641,2220.7209375658363,e_244.wav
e,809.1458443571565,2001.4481140577595,e_245.wav
i,382.0093024245341,2455.2764264908765,i_246.wav
e,600.2340492145478,2379.5477100956964,e_247.wav
e,824.8514217986607,1960.6005398395223,e_248.wav
i,387.5952087631738,2520.127888606324,i_249.wav
e,597.6333082692917,2305.654451389111,e_250.wav
e,746.5877905524852,1993.608074764588,e_251.wav
u,360.964083932691,1013.1167468571034,u_252.wav
u,432.8582967471521,1156.2175551805408,u_253.wav
u,491.4080325329126,1161.581460012705,u_254.wav
i,443.4631901219656,2286.172609153367,i_255.wav
i,450.2200238599512,2136.944442692558,i_256.wav
i,432.9257837889548,2166.52291193179,i_257.wav
i,404.3248508864132,2089.3734158214565,i_258.wav
i,418.7921443297786,2206.37587588124,i_259.wav
i,440.7629072853392,2184.5150058015083,i_260.wav
i,401.48134864998,2197.0418922595927,i_261.wav
ə,596.0925358811979,1835.0615167405128,ə_262.wav
a,1085.207971989753,1755.3661773079596,a_263.wav
ə,552.9681957969055,1761.7398073594004,ə_264.wav
a,1031.502139223429,1786.59736697195,a_265.wav
ə,596.2569386033883,1890.083209425852,ə_266.wav
a,1070.1134444126874,1710.9519277472991,a_267.wav
ə,623.4799439741865,1808.0581893836147,ə_268.wav
ə,622.0307408894945,1782.6360883982873,ə_269.wav
ə,782.4902883005481,1920.4509397208808,ə_270.wav
e,682.8854710896056,2114.26018570627,e_271.wav
e,725.1665922944748,2263.54951499185,e_272.wav
e,749.6125909856715,2296.6425946833792,e_273.wav
ə,559.5088107079082,1912.548654878177,ə_274.wav
ə,504.66781972746594,1981.6028412938872,ə_275.wav
ə,505.1328853582428,2061.4504028150327,ə_276.wav
i,346.39217471635993,2385.2825660091435,i_277.wav
i,391.9892439272841,2435.1615912534294,i_278.wav
